Name	Classification	Specific_Tissue	Specific_Sex
Transcript_65118.0	Others		
Transcript_261662.0	Tissue Specific	Brain	Male
Transcript_151177.0	Others		
Transcript_97384.0	Others		
Transcript_249151.0	Others		
Transcript_161817.0	Tissue Specific	Gonad	Female
Transcript_237386.0	Others		
Transcript_237376.0	Others		
Transcript_111369.0	Others		
Transcript_237370.0	Others		
Transcript_237366.0	Tissue Specific	Brain	
Transcript_63746.0	Others		
Transcript_237362.0	Others		
Transcript_237358.0	Tissue Specific	Brain	Male
Transcript_237341.0	Others		
Transcript_237332.0	Others		
Transcript_237329.0	Others		
Transcript_237313.0	Tissue Specific	Brain	
Transcript_237259.0	Others		
Transcript_54412.0	Tissue Specific	Skin	
Transcript_238645.0	Tissue Specific	Lung	
Transcript_81431.0	Tissue Specific	Skin	
Transcript_99021.0	Others		
Transcript_237246.0	Others		
Transcript_237239.0	Not Expressed		
Transcript_237213.0	Others		
Transcript_237201.0	Others		
Transcript_237199.0	Others		
Transcript_290347.0	Others		
Transcript_259457.0	Tissue Specific	Skin	
Transcript_47157.0	Tissue Specific	Brain	
Transcript_237197.0	Tissue Specific	Brain	
Transcript_266216.0	Others		
Transcript_237196.0	Others		
Transcript_237192.0	Tissue Specific	Gonad	
Transcript_226449.0	Others		
Transcript_88494.0	Tissue Specific	Muscle	
Transcript_23718.0	Others		
Transcript_82315.0	Others		
Transcript_254169.0	Tissue Specific	Brain	Male
Transcript_267413.0	Others		
Transcript_103214.0	Tissue Specific	Gonad	Female
Transcript_237179.0	Others		
Transcript_53678.0	Tissue Specific	Brain	
Transcript_237173.0	Tissue Specific	Muscle	
Transcript_252220.0	Others		
Transcript_250903.0	Others		
Transcript_268158.0	Others		
Transcript_52073.0	Others		
Transcript_74271.0	Others		
Transcript_237171.0	Others		
Transcript_269129.0	Others		
Transcript_263137.0	Tissue Specific	Brain	
Transcript_237169.0	Tissue Specific	Skin	Male
Transcript_76767.0	Others		
Transcript_237154.0	Others		
Transcript_237152.0	Others		
Transcript_187053.0	Others		
Transcript_237148.0	Others		
Transcript_237135.0	Tissue Specific	Lung	
Transcript_65583.0	Others		
Transcript_237133.0	Others		
Transcript_237132.0	Tissue Specific	Brain	
Transcript_178911.0	Others		
Transcript_138417.0	Others		
Transcript_253592.0	Others		
Transcript_237122.0	Others		
Transcript_80684.0	Others		
Transcript_237111.0	Tissue Specific	Brain	
Transcript_259136.0	Others		
Transcript_95043.0	Tissue Specific	Liver	
Transcript_237107.0	Tissue Specific	Brain	
Transcript_17793.0	Others		
Transcript_154958.0	Others		
Transcript_263940.0	Others		
Transcript_257971.0	Tissue Specific	Lung	Male
Transcript_233643.0	Tissue Specific	Gonad	
Transcript_237082.0	Tissue Specific	Skin	
Transcript_100520.0	Others		
Transcript_44697.0	Tissue Specific	Gonad	Female
Transcript_154440.0	Tissue Specific	Brain	Male
Transcript_63005.0	Tissue Specific	Brain	
Transcript_237056.0	Others		
Transcript_269913.0	Others		
Transcript_157597.0	Others		
Transcript_237053.0	Tissue Specific	Liver	
Transcript_22163.0	Others		
Transcript_237052.0	Others		
Transcript_237050.0	Others		
Transcript_17136.0	Others		
Transcript_45893.0	Others		
Transcript_147293.0	Others		
Transcript_70248.0	Others		
UFQX01004995.1_DLX6-AS1_2_1	Not Expressed		
Transcript_272210.0	Tissue Specific	Skin	
Transcript_39465.0	Others		
Transcript_27784.0	Tissue Specific	Skin	
Transcript_62893.0	Others		
Transcript_237037.0	Others		
Transcript_273894.0	Others		
Transcript_237001.0	Tissue Specific	Brain	
Transcript_23700.0	Others		
Transcript_21857.0	Others		
Transcript_14799.0	Expressed in All		
Transcript_236996.0	Others		
Transcript_236994.0	Others		
Transcript_20294.0	Tissue Specific	Brain	
Transcript_236989.0	Tissue Specific	Skin	
Transcript_40154.0	Others		
Transcript_254779.0	Others		
Transcript_53165.0	Tissue Specific	Brain	
Transcript_273764.0	Others		
Transcript_236985.0	Tissue Specific	Brain	Female
Transcript_145235.0	Others		
Transcript_23698.0	Others		
Transcript_52470.0	Others		
Transcript_19997.0	Others		
Transcript_35158.0	Others		
Transcript_253896.0	Tissue Specific	Lung	
Transcript_224553.0	Others		
Transcript_259208.0	Others		
Transcript_94006.0	Tissue Specific	Gonad	Female
Transcript_236958.0	Tissue Specific	Heart	
Transcript_236951.0	Tissue Specific	Gonad	Female
Transcript_236944.0	Others		
Transcript_264609.0	Others		
Transcript_66531.0	Others		
Transcript_88940.0	Tissue Specific	Lung	Male
Transcript_236933.0	Others		
Transcript_77947.0	Tissue Specific	Brain	Female
Transcript_250982.0	Tissue Specific	Lung	
Transcript_236923.0	Others		
Transcript_87239.0	Others		
Transcript_236916.0	Tissue Specific	Lung	
Transcript_33722.0	Tissue Specific	Brain	Male
Transcript_260497.0	Others		
Transcript_120823.0	Others		
Transcript_266460.0	Tissue Specific	Kidney	Male
Transcript_88710.0	Others		
Transcript_247292.0	Tissue Specific	Brain	
Transcript_264962.0	Tissue Specific	Skin	
Transcript_236908.0	Tissue Specific	Brain	
Transcript_238097.0	Others		
Transcript_123039.0	Others		
Transcript_236886.0	Others		
Transcript_236340.0	Tissue Specific	Brain	
Transcript_236884.0	Others		
Transcript_267151.0	Tissue Specific	Skin	
Transcript_236880.0	Tissue Specific	Gonad	Female
Transcript_12051.0	Others		
Transcript_69394.0	Others		
Transcript_23685.0	Others		
Transcript_236842.0	Others		
Transcript_270698.0	Tissue Specific	Gonad	Female
Transcript_17412.0	Others		
Transcript_4201.0	Others		
Transcript_47357.0	Tissue Specific	Muscle	
Transcript_236831.0	Others		
Transcript_49224.0	Others		
Transcript_266442.0	Others		
Transcript_261871.0	Others		
Transcript_261003.0	Others		
Transcript_236816.0	Tissue Specific	Brain	
Transcript_74952.0	Tissue Specific	Skin	
Transcript_236815.0	Tissue Specific	Brain	
Transcript_167069.0	Others		
Transcript_42264.0	Tissue Specific	Brain	
Transcript_236810.0	Others		
Transcript_243531.0	Others		
Transcript_236796.0	Tissue Specific	Gonad	Female
Transcript_236795.0	Others		
Transcript_236792.0	Tissue Specific	Gonad	
Transcript_272747.0	Others		
Transcript_33629.0	Others		
Transcript_66789.0	Tissue Specific	Gonad	Female
Transcript_236787.0	Others		
Transcript_238099.0	Others		
Transcript_236784.0	Others		
Transcript_236782.0	Others		
Transcript_35485.0	Others		
Transcript_94151.0	Others		
Transcript_236763.0	Others		
Transcript_223862.0	Others		
Transcript_236762.0	Others		
Transcript_69479.0	Others		
Transcript_75527.0	Others		
Transcript_236745.0	Tissue Specific	Kidney	
Transcript_236742.0	Others		
Transcript_236741.0	Others		
Transcript_206854.0	Tissue Specific	Gonad	
Transcript_45662.0	Others		
Transcript_42285.0	Others		
Transcript_251489.0	Tissue Specific	Gonad	
Transcript_236739.0	Tissue Specific	Brain	
Transcript_236735.0	Others		
Transcript_157723.0	Tissue Specific	Gonad	Female
Transcript_63247.0	Others		
Transcript_254836.0	Others		
Transcript_55616.0	Others		
Transcript_56221.0	Tissue Specific	Brain	Male
Transcript_236720.0	Tissue Specific	Brain	
Transcript_169034.0	Tissue Specific	Gonad	
Transcript_236703.0	Others		
Transcript_54942.0	Others		
Transcript_269342.0	Tissue Specific	Skin	
Transcript_257730.0	Others		
Transcript_24983.0	Others		
Transcript_236674.1	Tissue Specific	Skin	
Transcript_242553.0	Tissue Specific	Brain	
Transcript_236664.0	Others		
Transcript_83238.0	Others		
Transcript_236660.0	Others		
Transcript_98879.0	Others		
Transcript_236640.0	Others		
Transcript_53736.0	Others		
Transcript_264456.0	Others		
Transcript_236635.0	Others		
Transcript_150324.0	Others		
Transcript_272161.0	Others		
Transcript_255394.0	Others		
Transcript_236634.0	Others		
Transcript_236622.0	Tissue Specific	Skin	
Transcript_27172.0	Others		
Transcript_236607.0	Tissue Specific	Lung	
Transcript_236599.0	Others		
Transcript_236596.0	Others		
Transcript_272965.0	Tissue Specific	Brain	Female
Transcript_289887.0	Tissue Specific	Brain	
Transcript_77001.0	Others		
Transcript_236586.0	Others		
Transcript_236583.0	Others		
Transcript_236581.0	Others		
Transcript_236569.0	Others		
Transcript_239138.0	Tissue Specific	Brain	Male
Transcript_116814.0	Others		
Transcript_236562.0	Tissue Specific	Brain	
Transcript_240798.0	Others		
Transcript_141816.0	Others		
Transcript_236556.0	Others		
Transcript_183324.0	Tissue Specific	Kidney	
Transcript_41084.0	Tissue Specific	Gonad	
Transcript_236542.0	Others		
Transcript_255252.0	Tissue Specific	Brain	
Transcript_56635.0	Others		
Transcript_273976.0	Others		
Transcript_63512.0	Tissue Specific	Gonad	
Transcript_236530.0	Others		
Transcript_266315.0	Tissue Specific	Lung	
Transcript_237804.0	Others		
Transcript_236528.0	Others		
Transcript_73419.0	Others		
Transcript_102401.0	Others		
Transcript_78909.0	Tissue Specific	Skin	
Transcript_89104.0	Others		
Transcript_236520.0	Tissue Specific	Lung	
Transcript_75730.0	Tissue Specific	Gonad	Female
Transcript_147879.0	Tissue Specific	Brain	
Transcript_236518.0	Tissue Specific	Lung	
Transcript_274529.0	Others		
Transcript_101228.0	Others		
Transcript_273803.0	Others		
Transcript_23649.0	Others		
Transcript_64774.0	Tissue Specific	Skin	
Transcript_97074.0	Others		
Transcript_198433.0	Others		
Transcript_248911.0	Others		
Transcript_236439.0	Others		
Transcript_238448.0	Tissue Specific	Skin	
Transcript_274364.0	Others		
Transcript_262186.0	Tissue Specific	Brain	
Transcript_236437.0	Tissue Specific	Brain	Male
Transcript_214091.0	Others		
Transcript_32814.0	Others		
Transcript_23642.0	Others		
Transcript_45247.0	Tissue Specific	Brain	Female
Transcript_91285.0	Others		
Transcript_187305.0	Expressed in All		
Transcript_23640.0	Tissue Specific	Brain	
Transcript_236396.0	Tissue Specific	Brain	
Transcript_236387.0	Others		
Transcript_4558.0	Others		
Transcript_236377.0	Others		
Transcript_236376.0	Others		
Transcript_146837.0	Others		
Transcript_236355.0	Others		
Transcript_23635.0	Others		
Transcript_97734.0	Others		
Transcript_59999.0	Tissue Specific	Skin	
Transcript_24223.0	Others		
Transcript_236322.0	Others		
Transcript_201566.0	Others		
Transcript_106759.0	Others		
Transcript_236321.0	Others		
Transcript_68788.0	Tissue Specific	Skin	
Transcript_72419.0	Tissue Specific	Liver	
Transcript_53199.0	Tissue Specific	Gonad	Female
Transcript_237267.0	Others		
Transcript_273768.0	Others		
Transcript_23631.0	Others		
Transcript_68586.0	Others		
Transcript_236286.0	Others		
Transcript_158206.0	Others		
Transcript_236233.0	Others		
Transcript_232281.0	Others		
Transcript_236228.0	Others		
Transcript_240206.0	Tissue Specific	Brain	
Transcript_202812.0	Others		
Transcript_55503.0	Others		
Transcript_236212.0	Others		
Transcript_254769.0	Tissue Specific	Skin	
Transcript_236196.0	Tissue Specific	Skin	
Transcript_65419.0	Others		
Transcript_271273.0	Tissue Specific	Brain	
Transcript_236183.0	Others		
Transcript_67924.0	Tissue Specific	Brain	Female
Transcript_249110.0	Tissue Specific	Brain	
Transcript_76691.0	Others		
Transcript_33425.0	Others		
Transcript_79474.0	Others		
Transcript_35689.0	Others		
Transcript_93518.0	Tissue Specific	Brain	Male
Transcript_236151.0	Others		
Transcript_23614.0	Others		
Transcript_66659.0	Others		
Transcript_236138.0	Tissue Specific	Brain	Female
Transcript_271025.0	Others		
Transcript_62785.0	Others		
Transcript_236129.0	Others		
Transcript_159390.0	Tissue Specific	Skin	
Transcript_40585.0	Others		
Transcript_236128.0	Others		
Transcript_18516.0	Others		
Transcript_243564.0	Others		
Transcript_16100.0	Others		
Transcript_236125.0	Others		
Transcript_26034.0	Others		
Transcript_65509.0	Tissue Specific	Kidney	Male
Transcript_64971.0	Others		
Transcript_101425.0	Tissue Specific	Brain	
Transcript_29392.0	Others		
Transcript_262095.0	Tissue Specific	Lung	Female
Transcript_236100.0	Tissue Specific	Kidney	
Transcript_2361.0	Others		
Transcript_87592.0	Others		
Transcript_236094.0	Others		
Transcript_236091.0	Others		
Transcript_236088.0	Others		
Transcript_164154.0	Tissue Specific	Gonad	
Transcript_236085.0	Others		
Transcript_70076.0	Others		
Transcript_266238.0	Others		
Transcript_236069.0	Tissue Specific	Skin	
Transcript_209653.0	Others		
Transcript_236055.0	Tissue Specific	Skin	
Transcript_24740.0	Tissue Specific	Brain	
Transcript_236053.0	Others		
Transcript_147828.0	Tissue Specific	Brain	Male
Transcript_41308.0	Others		
Transcript_260734.0	Others		
Transcript_244250.0	Others		
Transcript_33010.0	Others		
Transcript_51407.0	Others		
Transcript_236052.0	Others		
Transcript_241326.0	Others		
Transcript_233725.0	Tissue Specific	Skin	
Transcript_56878.0	Others		
Transcript_63008.0	Others		
Transcript_235989.0	Tissue Specific	Gonad	Female
Transcript_208040.0	Tissue Specific	Skin	
Transcript_139692.0	Tissue Specific	Brain	
Transcript_42497.0	Others		
Transcript_25297.0	Others		
Transcript_33422.0	Others		
Transcript_235960.0	Others		
Transcript_235943.0	Others		
Transcript_235933.0	Tissue Specific	Brain	
Transcript_235923.0	Others		
Transcript_107690.0	Others		
Transcript_34136.0	Others		
Transcript_235885.0	Others		
Transcript_235883.0	Tissue Specific	Brain	
Transcript_42080.0	Others		
Transcript_235877.0	Others		
Transcript_97579.0	Others		
Transcript_235867.0	Others		
Transcript_60228.0	Tissue Specific	Brain	Female
Transcript_235852.0	Others		
Transcript_23585.0	Others		
Transcript_223341.0	Others		
Transcript_53210.0	Others		
Transcript_235848.0	Others		
Transcript_154546.0	Others		
Transcript_70773.0	Others		
Transcript_164785.0	Tissue Specific	Brain	Male
Transcript_98988.0	Others		
Transcript_235839.0	Tissue Specific	Brain	
Transcript_147616.0	Others		
Transcript_147005.0	Tissue Specific	Brain	Male
Transcript_235824.0	Others		
Transcript_71898.0	Others		
Transcript_235808.0	Others		
Transcript_26707.0	Others		
Transcript_285739.0	Tissue Specific	Skin	Male
Transcript_23579.0	Tissue Specific	Gonad	Female
Transcript_58899.0	Others		
Transcript_261491.0	Not Expressed		
Transcript_57241.0	Not Expressed		
Transcript_235779.0	Others		
Transcript_194979.0	Others		
Transcript_235776.0	Others		
Transcript_265383.0	Others		
Transcript_192355.0	Others		
Transcript_24571.0	Others		
Transcript_62138.0	Others		
Transcript_235766.0	Others		
Transcript_56418.0	Tissue Specific	Kidney	Male
Transcript_235757.0	Others		
Transcript_235754.0	Tissue Specific	Muscle	
Transcript_197759.0	Others		
Transcript_235753.0	Others		
Transcript_151901.0	Others		
Transcript_235737.0	Tissue Specific	Brain	Female
Transcript_235734.0	Tissue Specific	Lung	
Transcript_255951.0	Others		
Transcript_235731.0	Others		
Transcript_129495.0	Others		
Transcript_87080.0	Tissue Specific	Kidney	
Transcript_235723.0	Tissue Specific	Skin	
Transcript_235716.0	Others		
Transcript_235691.0	Tissue Specific	Brain	Female
Transcript_5595.0	Tissue Specific	Kidney	
Transcript_245178.0	Others		
Transcript_67577.0	Others		
Transcript_36859.0	Others		
Transcript_235666.0	Others		
Transcript_251294.0	Others		
Transcript_248680.0	Expressed in All		
Transcript_235658.0	Tissue Specific	Brain	
Transcript_62093.0	Tissue Specific	Lung	Female
Transcript_259210.0	Others		
Transcript_276119.0	Others		
Transcript_235656.0	Others		
Transcript_108669.0	Tissue Specific	Gonad	
Transcript_50288.0	Others		
Transcript_235648.0	Others		
Transcript_235639.0	Others		
Transcript_75273.0	Tissue Specific	Brain	Female
Transcript_235627.0	Tissue Specific	Heart	
Transcript_38245.0	Tissue Specific	Brain	
Transcript_63108.0	Others		
Transcript_99813.0	Tissue Specific	Heart	
Transcript_235624.0	Others		
Transcript_23561.0	Others		
Transcript_235606.0	Others		
Transcript_253190.0	Tissue Specific	Brain	
Transcript_235596.0	Others		
Transcript_35445.0	Tissue Specific	Liver	Male
Transcript_268637.0	Others		
Transcript_235595.0	Others		
Transcript_35762.0	Tissue Specific	Brain	
Transcript_86818.0	Others		
Transcript_235593.0	Tissue Specific	Brain	
Transcript_235591.0	Others		
Transcript_195717.0	Others		
Transcript_235561.0	Others		
Transcript_219602.0	Others		
Transcript_5275.0	Others		
Transcript_235540.0	Others		
Transcript_23553.0	Others		
Transcript_235523.0	Others		
Transcript_264943.0	Others		
Transcript_98987.0	Others		
Transcript_235520.0	Tissue Specific	Brain	
Transcript_235511.0	Others		
Transcript_173678.0	Tissue Specific	Skin	
Transcript_235510.0	Tissue Specific	Brain	
Transcript_272129.0	Others		
Transcript_42901.0	Tissue Specific	Brain	
Transcript_261803.0	Tissue Specific	Brain	Male
Transcript_235502.0	Others		
Transcript_245974.0	Others		
Transcript_243630.0	Others		
Transcript_53383.0	Others		
Transcript_235487.0	Tissue Specific	Brain	
Transcript_235483.0	Others		
Transcript_68698.0	Tissue Specific	Skin	
Transcript_231859.0	Others		
Transcript_235479.0	Tissue Specific	Gonad	
Transcript_235468.0	Tissue Specific	Brain	
Transcript_235458.0	Others		
Transcript_261214.0	Tissue Specific	Skin	
Transcript_194494.0	Tissue Specific	Gonad	Female
Transcript_168482.0	Tissue Specific	Gonad	
Transcript_36456.0	Tissue Specific	Gonad	Female
Transcript_67381.0	Others		
Transcript_235423.0	Tissue Specific	Gonad	Female
Transcript_235422.0	Not Expressed		
Transcript_239549.0	Tissue Specific	Skin	
Transcript_235420.0	Others		
Transcript_69458.0	Tissue Specific	Kidney	
Transcript_257318.0	Others		
Transcript_249947.0	Tissue Specific	Lung	Female
Transcript_232407.0	Others		
Transcript_73924.0	Tissue Specific	Gonad	Female
Transcript_235401.0	Tissue Specific	Gonad	Female
Transcript_194316.0	Tissue Specific	Skin	
Transcript_9825.0	Others		
Transcript_256348.0	Tissue Specific	Skin	
Transcript_206306.0	Others		
Transcript_23701.0	Others		
Transcript_201851.0	Tissue Specific	Skin	
Transcript_171759.0	Others		
Transcript_235371.0	Others		
Transcript_268426.0	Others		
Transcript_246129.0	Others		
Transcript_289108.0	Others		
Transcript_235360.0	Others		
Transcript_229104.0	Others		
Transcript_235351.0	Not Expressed		
Transcript_80439.0	Others		
Transcript_257082.0	Others		
Transcript_91765.0	Others		
Transcript_235350.0	Tissue Specific	Gonad	
Transcript_141611.0	Others		
Transcript_235348.0	Others		
Transcript_270318.0	Tissue Specific	Heart	
Transcript_258220.0	Tissue Specific	Brain	Female
Transcript_235339.0	Others		
Transcript_235338.0	Tissue Specific	Gonad	Female
Transcript_235337.0	Others		
Transcript_185267.0	Others		
Transcript_235320.0	Others		
Transcript_23753.0	Others		
Transcript_66508.0	Tissue Specific	Brain	Male
Transcript_235310.0	Tissue Specific	Heart	
Transcript_239628.0	Others		
Transcript_249514.0	Tissue Specific	Skin	
Transcript_23530.0	Others		
Transcript_18215.0	Others		
Transcript_28949.0	Tissue Specific	Lung	
Transcript_48551.0	Tissue Specific	Lung	
Transcript_263017.0	Others		
Transcript_235287.0	Others		
Transcript_22809.0	Tissue Specific	Skin	
Transcript_23527.0	Others		
Transcript_83733.0	Others		
Transcript_235269.0	Tissue Specific	Brain	
Transcript_253490.0	Others		
Transcript_86574.0	Others		
Transcript_235266.0	Tissue Specific	Brain	Male
Transcript_166820.0	Others		
Transcript_23522.0	Others		
Transcript_41745.0	Others		
Transcript_235219.0	Others		
Transcript_248296.0	Others		
Transcript_235210.0	Others		
Transcript_235188.0	Others		
Transcript_142397.0	Others		
Transcript_235180.0	Others		
Transcript_102465.0	Tissue Specific	Brain	
Transcript_254924.0	Others		
Transcript_245435.0	Others		
Transcript_78666.0	Others		
Transcript_241444.0	Others		
Transcript_38076.0	Others		
Transcript_239895.0	Tissue Specific	Skin	
Transcript_235174.0	Tissue Specific	Gonad	Female
Transcript_44020.0	Others		
Transcript_235169.0	Tissue Specific	Skin	
Transcript_204189.0	Others		
Transcript_262751.0	Tissue Specific	Gonad	Female
Transcript_37027.0	Others		
Transcript_24168.0	Tissue Specific	Kidney	
Transcript_262467.0	Others		
Transcript_258321.0	Tissue Specific	Heart	
Transcript_203580.0	Others		
Transcript_235164.0	Others		
Transcript_42473.0	Tissue Specific	Brain	Female
Transcript_235160.0	Tissue Specific	Brain	
Transcript_235156.0	Tissue Specific	Lung	
Transcript_226490.0	Others		
Transcript_235841.0	Others		
Transcript_235132.0	Others		
Transcript_235107.0	Others		
Transcript_160084.0	Others		
Transcript_235085.0	Others		
Transcript_235076.0	Tissue Specific	Muscle	
Transcript_235072.0	Others		
Transcript_24842.0	Others		
Transcript_137694.0	Tissue Specific	Brain	
Transcript_235050.0	Others		
Transcript_235046.0	Others		
Transcript_235040.0	Tissue Specific	Brain	
Transcript_70608.0	Others		
Transcript_90673.0	Others		
Transcript_235032.0	Others		
Transcript_239559.0	Others		
Transcript_23503.0	Others		
Transcript_254250.0	Tissue Specific	Gonad	
Transcript_248662.0	Others		
Transcript_235006.0	Tissue Specific	Liver	
Transcript_8736.0	Others		
Transcript_234974.0	Tissue Specific	Gonad	Female
Transcript_234965.0	Others		
Transcript_266841.0	Tissue Specific	Brain	
Transcript_265639.0	Others		
Transcript_50695.0	Tissue Specific	Muscle	
Transcript_7051.0	Others		
Transcript_76951.0	Others		
Transcript_248849.0	Tissue Specific	Brain	
Transcript_234940.0	Others		
Transcript_174753.0	Others		
Transcript_95471.0	Others		
Transcript_234934.0	Others		
Transcript_234923.0	Others		
Transcript_168208.0	Others		
Transcript_80575.0	Tissue Specific	Kidney	
Transcript_90320.0	Others		
Transcript_263550.0	Others		
Transcript_19848.0	Tissue Specific	Brain	Female
Transcript_21245.0	Others		
Transcript_234912.0	Tissue Specific	Brain	
Transcript_259530.0	Tissue Specific	Gonad	Female
Transcript_85403.0	Others		
Transcript_76143.0	Others		
Transcript_234907.0	Others		
Transcript_234906.0	Others		
Transcript_253577.0	Others		
Transcript_25109.0	Others		
Transcript_234898.0	Others		
Transcript_89635.0	Others		
Transcript_234887.0	Others		
Transcript_164675.0	Others		
Transcript_234882.0	Others		
Transcript_208731.0	Tissue Specific	Gonad	
Transcript_23504.0	Others		
Transcript_67014.0	Tissue Specific	Brain	
Transcript_67804.0	Tissue Specific	Gonad	
Transcript_234877.0	Tissue Specific	Gonad	Female
Transcript_160693.0	Others		
Transcript_90850.0	Tissue Specific	Gonad	Female
Transcript_98288.0	Others		
Transcript_234853.0	Others		
Transcript_141983.0	Others		
Transcript_103658.0	Others		
Transcript_234841.0	Others		
Transcript_267576.0	Tissue Specific	Brain	
Transcript_234833.0	Not Expressed		
Transcript_255742.0	Others		
Transcript_43584.0	Others		
Transcript_196906.0	Tissue Specific	Heart	
Transcript_100671.0	Others		
Transcript_38924.0	Others		
Transcript_77719.0	Others		
Transcript_90427.0	Others		
Transcript_225190.0	Others		
Transcript_238129.0	Others		
Transcript_23483.0	Others		
Transcript_234820.0	Others		
Transcript_101217.0	Tissue Specific	Lung	
Transcript_53156.0	Tissue Specific	Gonad	Male
Transcript_234819.0	Others		
Transcript_234813.0	Tissue Specific	Liver	
Transcript_234810.0	Others		
Transcript_263581.0	Others		
Transcript_254121.0	Others		
Transcript_258679.0	Others		
Transcript_234798.0	Others		
Transcript_100443.0	Others		
Transcript_234792.0	Others		
Transcript_162406.0	Tissue Specific	Lung	Male
Transcript_100951.0	Others		
Transcript_23479.0	Tissue Specific	Brain	
Transcript_37034.0	Tissue Specific	Brain	
Transcript_54517.0	Tissue Specific	Skin	
Transcript_234769.0	Others		
Transcript_145045.0	Others		
Transcript_234765.0	Others		
Transcript_118623.0	Tissue Specific	Brain	
Transcript_234764.0	Others		
Transcript_258801.0	Others		
Transcript_69882.0	Tissue Specific	Skin	
Transcript_93966.0	Others		
Transcript_234763.0	Tissue Specific	Gonad	
Transcript_234759.0	Tissue Specific	Brain	
Transcript_256368.0	Others		
Transcript_204827.0	Others		
Transcript_5607.0	Others		
Transcript_14962.0	Others		
Transcript_234755.0	Others		
Transcript_234753.0	Tissue Specific	Brain	
Transcript_74389.0	Others		
Transcript_96956.0	Others		
Transcript_241140.0	Others		
Transcript_66673.0	Others		
Transcript_234741.0	Others		
Transcript_234737.0	Tissue Specific	Kidney	
Transcript_101717.0	Others		
Transcript_62936.0	Tissue Specific	Brain	
Transcript_234728.0	Others		
Transcript_50323.0	Tissue Specific	Skin	
Transcript_12318.0	Expressed in All		
Transcript_51775.0	Not Expressed		
Transcript_255843.0	Tissue Specific	Brain	
Transcript_245643.0	Others		
Transcript_263832.0	Others		
Transcript_72806.0	Others		
Transcript_234724.0	Others		
Transcript_34220.0	Others		
Transcript_271231.0	Others		
Transcript_22070.0	Others		
Transcript_263724.0	Tissue Specific	Brain	Male
Transcript_234720.0	Others		
Transcript_234715.0	Tissue Specific	Skin	
Transcript_75793.0	Others		
Transcript_234711.0	Tissue Specific	Brain	
Transcript_234705.0	Others		
Transcript_272740.0	Tissue Specific	Brain	
Transcript_234693.0	Others		
Transcript_254866.0	Tissue Specific	Liver	
Transcript_23469.0	Tissue Specific	Heart	
Transcript_234689.0	Others		
Transcript_25392.0	Others		
Transcript_234684.0	Not Expressed		
Transcript_239070.0	Tissue Specific	Gonad	Female
Transcript_234681.0	Others		
Transcript_226299.0	Others		
Transcript_63917.0	Others		
Transcript_80573.0	Others		
Transcript_270043.0	Tissue Specific	Skin	
Transcript_27734.0	Others		
Transcript_32893.0	Others		
Transcript_65951.0	Tissue Specific	Gonad	
Transcript_234641.0	Others		
Transcript_234640.0	Tissue Specific	Brain	Female
Transcript_234632.0	Tissue Specific	Brain	
Transcript_83128.0	Tissue Specific	Skin	
Transcript_234630.0	Tissue Specific	Skin	
Transcript_253182.0	Others		
Transcript_273605.0	Others		
Transcript_243288.0	Tissue Specific	Brain	
Transcript_90584.0	Others		
Transcript_234594.0	Others		
Transcript_71131.0	Tissue Specific	Brain	
Transcript_234584.0	Tissue Specific	Muscle	
Transcript_270181.0	Others		
Transcript_243052.0	Others		
Transcript_234580.0	Tissue Specific	Skin	
Transcript_23458.0	Tissue Specific	Brain	
Transcript_245895.0	Others		
Transcript_233068.0	Tissue Specific	Liver	
Transcript_79858.0	Others		
Transcript_234570.0	Others		
Transcript_27356.0	Others		
Transcript_234563.0	Others		
Transcript_51956.0	Tissue Specific	Gonad	Female
Transcript_234527.0	Others		
Transcript_246985.0	Others		
Transcript_234523.0	Tissue Specific	Skin	
Transcript_234522.0	Others		
Transcript_25240.0	Tissue Specific	Brain	
Transcript_266213.0	Tissue Specific	Gonad	Female
Transcript_72911.0	Others		
Transcript_248850.0	Tissue Specific	Brain	Male
Transcript_234521.0	Others		
Transcript_73513.0	Tissue Specific	Brain	
Transcript_94648.0	Others		
Transcript_232112.0	Others		
Transcript_101654.0	Tissue Specific	Brain	
Transcript_234481.0	Tissue Specific	Brain	
Transcript_42399.0	Tissue Specific	Brain	
Transcript_245239.0	Tissue Specific	Kidney	Male
Transcript_73681.0	Others		
Transcript_86586.0	Others		
Transcript_130037.0	Others		
Transcript_239694.0	Others		
Transcript_92767.0	Others		
Transcript_234467.0	Others		
Transcript_266800.0	Others		
Transcript_58229.0	Tissue Specific	Gonad	Female
Transcript_234466.0	Others		
Transcript_260147.0	Tissue Specific	Brain	
Transcript_231933.0	Others		
Transcript_170498.0	Tissue Specific	Heart	
Transcript_234465.0	Tissue Specific	Gonad	Female
Transcript_194191.0	Others		
Transcript_77341.0	Others		
Transcript_23446.0	Others		
Transcript_266082.0	Others		
Transcript_193622.0	Others		
Transcript_57745.0	Others		
Transcript_234457.0	Others		
Transcript_163638.0	Tissue Specific	Gonad	Female
Transcript_234455.0	Tissue Specific	Heart	
Transcript_23443.0	Others		
Transcript_234425.0	Tissue Specific	Brain	
Transcript_92315.0	Others		
Transcript_234423.0	Tissue Specific	Gonad	Female
Transcript_271019.0	Tissue Specific	Gonad	
Transcript_31638.0	Others		
Transcript_95743.0	Tissue Specific	Kidney	
Transcript_234418.0	Tissue Specific	Gonad	Female
